frame,annotation,activity
0,40,
1,40,
2,40,
3,40,
4,40,
5,40,
6,40,
7,40,
8,40,
9,40,
10,40,
11,40,
12,40,
13,40,
14,40,
15,40,
16,40,
17,40,
18,40,
19,40,
20,40,
21,40,
22,40,
23,40,
24,40,
25,40,
26,40,
27,40,
28,40,
29,40,
30,40,
31,40,
32,40,
33,40,
34,40,
35,40,
36,40,
37,40,
38,40,
39,40,
40,40,
41,40,
42,40,
43,40,
44,40,
45,40,
46,40,
47,40,
48,40,
49,40,
50,40,
51,40,
52,15,opening_door_outside
53,15,opening_door_outside
54,15,opening_door_outside
55,15,opening_door_outside
56,15,opening_door_outside
57,15,opening_door_outside
58,15,opening_door_outside
59,15,opening_door_outside
60,15,opening_door_outside
61,15,opening_door_outside
62,15,opening_door_outside
63,15,opening_door_outside
64,15,opening_door_outside
65,15,opening_door_outside
66,15,opening_door_outside
67,15,opening_door_outside
68,15,opening_door_outside
69,15,opening_door_outside
70,15,opening_door_outside
71,15,opening_door_outside
72,15,opening_door_outside
73,15,opening_door_outside
73,6,entering_car
74,6,entering_car
75,6,entering_car
76,6,entering_car
77,6,entering_car
78,6,entering_car
79,6,entering_car
80,6,entering_car
81,6,entering_car
82,6,entering_car
83,6,entering_car
84,6,entering_car
85,6,entering_car
86,6,entering_car
87,6,entering_car
88,6,entering_car
89,6,entering_car
90,6,entering_car
91,6,entering_car
92,6,entering_car
93,6,entering_car
94,6,entering_car
95,6,entering_car
96,6,entering_car
97,6,entering_car
98,6,entering_car
99,6,entering_car
100,6,entering_car
101,6,entering_car
102,6,entering_car
103,6,entering_car
104,6,entering_car
105,6,entering_car
106,6,entering_car
107,6,entering_car
108,6,entering_car
108,1,closing_door_inside
109,1,closing_door_inside
110,1,closing_door_inside
111,1,closing_door_inside
112,1,closing_door_inside
113,1,closing_door_inside
114,1,closing_door_inside
115,1,closing_door_inside
116,1,closing_door_inside
117,1,closing_door_inside
118,1,closing_door_inside
119,1,closing_door_inside
120,1,closing_door_inside
121,1,closing_door_inside
121,8,fastening_seat_belt
122,8,fastening_seat_belt
123,8,fastening_seat_belt
124,8,fastening_seat_belt
125,8,fastening_seat_belt
126,8,fastening_seat_belt
127,8,fastening_seat_belt
